name,type,location_level,amenities_notes,known_address,source
SingPost Centre,Nursing Room,Levels B1 and L3 The nursing room here is clean but minimalist at best,"There’s a sink and diaper-changing station, and a child-friendly toilet within, which is perfect if you have older kids. SingPost Centre , 10 Eunos Rd 8, Singapore 408600, www.singpostcentre.com","Location: Levels B1 and L3 The nursing room here is clean but minimalist at best. There’s a sink and diaper-changing station, and a child-friendly toilet within, which is perfect if you have older kids. SingPost Centre , 10 Eunos Rd 8, Singapore 408600",SassyMama
Suntec City Shopping Mall,Nursing Room,,,,SassyMama
Suntec City Convention Centre,Nursing Room,"Levels 1 and 2; Tower 3 (next to Toys R’ Us) There are multiple nursing rooms scattered across Suntec, but with it being a hub for a lot of working mamas, it’s a real shame there aren’t any power points to help with expressing milk","The nursing cubicle has curtains instead of locks, and there are changing stations and a hot and cold water dispenser. Suntec City Convention Centre , 1 Raffles Blvd, Singapore 039593, www.suntecsingapore.com; Diaper changing station; Suitable for a single pram; Wash basin; Electrical power points; Water dispenser; Private room for one parent and baby","Location: Levels 1 and 2; Tower 3 (next to Toys R’ Us) There are multiple nursing rooms scattered across Suntec, but with it being a hub for a lot of working mamas, it’s a real shame there aren’t any power points to help with expressing milk. The nursing cubicle has curtains instead of locks, and there are changing stations and a hot and cold water dispenser. Suntec City Convention Centre , 1 Raffles Blvd, Singapore 039593",SassyMama+BMSG
Takashimaya,Nursing Room,,Diaper changing station; Lockable nursing cubicle(s); Suitable for a single pram; Suitable for a double pram; Wash basin; Electrical power points; Water dispenser; Nursing area separated from changing area; Private room for one parent and baby; Multiple nursing cubicles available; Family-friendly access,,SassyMama+BMSG
Tampines Mall,Nursing Room,"Level 2 (near Lift Lobby A) Key features in the two lockable nursing rooms include armchairs, small tables and a baby holder, two changing stations a sink and a hot and cold water dispenser","Tampines Mall , 4 Tampines Central 5, Singapore 529510, www.capitaland.com/sg/malls/tampinesmall/en.html","Location: Level 2 (near Lift Lobby A) Key features in the two lockable nursing rooms include armchairs, small tables and a baby holder, two changing stations a sink and a hot and cold water dispenser. Tampines Mall , 4 Tampines Central 5, Singapore 529510",SassyMama
Tampines 1,Nursing Room,"Levels 2 and 5 You’ll find two lockable nursing rooms with benches, changing stations, a sink and a hot and cold water dispenser","Tampines 1 , 10 Tampines Central 1, Singapore 529536, www.tampines1.com.sg","Location: Levels 2 and 5 You’ll find two lockable nursing rooms with benches, changing stations, a sink and a hot and cold water dispenser. Tampines 1 , 10 Tampines Central 1, Singapore 529536",SassyMama
Tanglin Mall,Nursing Room,Level 3 (baby care room near restrooms); Level 2 (diaper changing room) Spacious – with enough space to wheel in a couple of strollers – this nursing room is usually pretty jumping due to all the baby-friendly amenities nearby,"The decor at Tanglin Mall ‘s nrusing rooms is slightly dated, but it’s comfortable and has all the amenities a mama could need, including nursing armchairs and a table, changing stations, sink, hot and cold water dispenser and power points. Tanglin Mall , 163 Tanglin Road, Singapore 247933, www.tanglinmall.com.sg Read more: Guide To Tanglin Mall Shopping, Food & More","Location: Level 3 (baby care room near restrooms); Level 2 (diaper changing room) Spacious – with enough space to wheel in a couple of strollers – this nursing room is usually pretty jumping due to all the baby-friendly amenities nearby. The decor at Tanglin Mall ‘s nrusing rooms is slightly dated, but it’s comfortable and has all the amenities a mama could need, including nursing armchairs and a table, changing stations, sink, hot and cold water dispenser and power points. Tanglin Mall , 163 Tanglin Road, Singapore 247933",SassyMama
Thomson Plaza,Nursing Room,"Level 3 Key features of the lockable nursing area include a bench, changing table, sink and a waiting area","Thomson Plaza , 301 Upper Thomson Rd, Singapore 574408, www.thomsonplaza.com.sg","Location: Level 3 Key features of the lockable nursing area include a bench, changing table, sink and a waiting area. Thomson Plaza , 301 Upper Thomson Rd, Singapore 574408",SassyMama
Tiong Bahru Plaza,Nursing Room,"Levels B1, 1 to 3 The nursing room area has a bench but no locks","There are also facilities such as a changing station, sink, waiting area, hot/cold water dispenser and power points. Tiong Bahru Plaza , 302 Tiong Bahru Rd, Singapore 168732, www.tiongbahruplaza.com.sg","Location: Levels B1, 1 to 3 The nursing room area has a bench but no locks. There are also facilities such as a changing station, sink, waiting area, hot/cold water dispenser and power points. Tiong Bahru Plaza , 302 Tiong Bahru Rd, Singapore 168732",SassyMama
United Square,Nursing Room,Level 1 This popular kids’ mall has a pretty nice baby care room that can accommodate a couple of strollers and is kept very clean,"The three lockable nursing rooms come with comfy armchairs, changing stations, a waiting area, hot water dispenser, sink, high chairs and power points. United Square , 101 Thomson Rd, Singapore 307591, www.unitedsquare.com.sg; Diaper changing station; Lockable nursing cubicle(s); Wash basin; Electrical power points; Water dispenser; Nursing area separated from changing area; Multiple nursing cubicles available; Family-friendly access","Location: Level 1 This popular kids’ mall has a pretty nice baby care room that can accommodate a couple of strollers and is kept very clean. The three lockable nursing rooms come with comfy armchairs, changing stations, a waiting area, hot water dispenser, sink, high chairs and power points. United Square , 101 Thomson Rd, Singapore 307591",SassyMama+BMSG
Valley Point Shopping Centre,Nursing Room,"Level 1 There’s one nursing cubicle (no locks; separated by curtains), a changing table, sink and a hot and cold water dispenser","Image Credit: Valley Point via Official Website Valley Point Shopping Centre , 491 River Valley Rd, Singapore 248371, www.valleypoint.com.sg","Image Credit: Valley Point via Official Website Location: Level 1 There’s one nursing cubicle (no locks; separated by curtains), a changing table, sink and a hot and cold water dispenser. Valley Point Shopping Centre , 491 River Valley Rd, Singapore 248371",SassyMama
Velocity @ Novena,Nursing Room,"Levels 2 (near NOVITA) Nice, clean and bright, the baby room in Velocity has everything you need, but it’s a bit out of the way from the more popular stores","The two lockable nursing rooms have a sofa, changing station, sink, and power points. There are also hot and cold water dispensers on levels 2 and 3. Velocity @ Novena , 238 Thomson Road, Singapore 307683, www.velocitynovena.com","Location: Levels 2 (near NOVITA) Nice, clean and bright, the baby room in Velocity has everything you need, but it’s a bit out of the way from the more popular stores. The two lockable nursing rooms have a sofa, changing station, sink, and power points. There are also hot and cold water dispensers on levels 2 and 3. Velocity @ Novena , 238 Thomson Road, Singapore 307683",SassyMama
VivoCity,Nursing Room,,Diaper changing station; Lockable nursing cubicle(s); Suitable for a double pram; Wash basin; Electrical power points; Water dispenser; Nursing area separated from changing area; Multiple nursing cubicles available; Family-friendly access,,SassyMama+BMSG
Waterway Point,Nursing Room,"B2 to Level 2 The spacious nursing room at Waterway Point comes with a padded diaper changing station, hot and cold water dispenser, a sink, and a breastfeeding room with a bench and an electrical point to charge your phone","This nursing room can fit up to two strollers and even has a bench for your husband to wait while you nurse your baby. Waterway Point, 83 Punggol Central, Singapore 828763, www.waterwaypoint.com.sg Read more: Guide To Punggol Coast Mall","Location: B2 to Level 2 The spacious nursing room at Waterway Point comes with a padded diaper changing station, hot and cold water dispenser, a sink, and a breastfeeding room with a bench and an electrical point to charge your phone. This nursing room can fit up to two strollers and even has a bench for your husband to wait while you nurse your baby. Waterway Point, 83 Punggol Central, Singapore 828763",SassyMama
West Coast Plaza,Nursing Room,"Level B1 Key features within the one lockable nursing room include a bench, changing table, sink, power points and a hot/cold water dispenser","West Coast Plaza , 154 West Coast Rd, Singapore 127371, www.fareastmalls.com.sg/west-coast-plaza","Location: Level B1 Key features within the one lockable nursing room include a bench, changing table, sink, power points and a hot/cold water dispenser. West Coast Plaza , 154 West Coast Rd, Singapore 127371",SassyMama
Wheelock Place,Nursing Room,"Level 1 This one is a bit difficult to get to with a stroller, with the lift to level 1 as your only option","Key features in the single, lockable nursing room include a changing table, sink and power points. Wheelock Place , 501 Orchard Rd, Singapore 238880, www.facebook.com/wheelockplacesg","Location: Level 1 This one is a bit difficult to get to with a stroller, with the lift to level 1 as your only option. Key features in the single, lockable nursing room include a changing table, sink and power points. Wheelock Place , 501 Orchard Rd, Singapore 238880",SassyMama
Wisma Atria,Nursing Room,"Level 3 The baby room at Wisma Atria is really just a small area inside the female restroom so it’s not particularly pleasant, but it has the basics in a pinch! Think armchair and changing table (no locks), a sink and a hot/cold water dispenser","Wisma Atria , 435 Orchard Rd, Singapore 238877, www.wismaonline.com","Location: Level 3 The baby room at Wisma Atria is really just a small area inside the female restroom so it’s not particularly pleasant, but it has the basics in a pinch! Think armchair and changing table (no locks), a sink and a hot/cold water dispenser. Wisma Atria , 435 Orchard Rd, Singapore 238877",SassyMama
Alexandra Retail Mall,Nursing Room,Levels 1 and 2 (near restrooms),Diaper changing station; Lockable nursing cubicle(s); Private room for one parent and baby; Family-friendly access,,BMSG
Buangkok Square Mall,Family Room,Near the water play area,Diaper changing station; Suitable for a single pram; Wash basin; Water dispenser; Family-friendly access; Toddler seat,,BMSG
Embassy of the Republic of the Philippines in Singapore,Nursing Room,Within the embassy premises,Diaper changing station; Suitable for a single pram; Wash basin; Electrical power points; Water dispenser; Nursing area separated from changing area; Private room for one parent and baby,,BMSG
Forum Shopping Mall,Nursing Room,Level 1,Diaper changing station; Lockable nursing cubicle(s); Wash basin; Electrical power points; Multiple nursing cubicles available; Family-friendly access,,BMSG
The Star Vista,Nursing Room,Level 1 (near Lift Lobby A),Diaper changing station; Lockable nursing cubicle(s); Wash basin; Water dispenser; Private room for one parent and baby,,BMSG
Institute of Mental Health,Nursing Pod,"Child Guidance Clinic, Block 3, Basement 1; Private Clinic, Block 1, Level 2",Lockable nursing cubicle(s); Electrical power points; Private room for one parent and baby,,BMSG
Ng Teng Fong Hospital,Nursing Rooms,"Tower B, Level 2 (near Fork & Spoon, inside office area); Tower C, Level 1M (staff only)",Wash basin; Electrical power points; Multiple nursing cubicles available,,BMSG
Serangoon Polyclinic,Nursing Room,Level 6,Lockable nursing cubicle(s); Suitable for a single pram; Wash basin; Electrical power points; Water dispenser; Nursing area separated from changing area; Private room for one parent and baby,,BMSG
Holy Cross Church,Nursing Pod,,Private room for one parent and baby,,BMSG
Pusara Aman Mosque,Nursing Pod,,Diaper changing station; Private room for one parent and baby,,BMSG
